epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.1618,1.63479,2.6587,1.51028,1,0.08554,0.30417,0.16231,1.49067,2.93253,1.44477,0.000647059,0.000647059,0.000647059
2,30.7653,1.56159,1.93958,1.4634,0.41804,0.26215,0.23425,0.10504,1.80915,2.6484,1.7746,0.00128771,0.00128771,0.00128771
3,39.8489,1.58523,1.8868,1.46392,0.51391,0.30747,0.31504,0.15083,1.74562,2.52037,1.80565,0.00190197,0.00190197,0.00190197
4,48.5379,1.57739,1.77494,1.48197,0.32024,0.30172,0.20633,0.09053,1.93153,2.95005,1.96547,0.0018812,0.0018812,0.0018812
5,56.7099,1.58481,1.72235,1.4553,0.55026,0.42893,0.46753,0.23215,1.69087,1.98358,1.57399,0.0018416,0.0018416,0.0018416
6,65.0558,1.52269,1.61518,1.41051,0.56837,0.42241,0.46362,0.24373,1.76071,1.99473,1.68277,0.001802,0.001802,0.001802
7,73.7275,1.48945,1.51345,1.42122,0.68415,0.52299,0.58166,0.3168,1.54175,1.54989,1.49096,0.0017624,0.0017624,0.0017624
8,82.0934,1.4814,1.47887,1.40949,0.36267,0.56034,0.35654,0.19575,1.58901,1.77518,1.49286,0.0017228,0.0017228,0.0017228
9,90.1499,1.46458,1.47795,1.37834,0.67458,0.49138,0.54271,0.29449,1.55002,1.88159,1.48608,0.0016832,0.0016832,0.0016832
10,98.2549,1.45639,1.41389,1.3853,0.68093,0.5546,0.62282,0.3522,1.49265,1.52019,1.4301,0.0016436,0.0016436,0.0016436
11,106.407,1.44231,1.37173,1.37779,0.69394,0.52011,0.6145,0.33846,1.53115,1.58955,1.48998,0.001604,0.001604,0.001604
12,114.358,1.39888,1.30852,1.34147,0.69159,0.5,0.58081,0.32992,1.65141,1.6669,1.57035,0.0015644,0.0015644,0.0015644
13,122.207,1.39489,1.28025,1.33432,0.63782,0.62931,0.65561,0.3704,1.49181,1.4157,1.44737,0.0015248,0.0015248,0.0015248
14,130.248,1.37475,1.22967,1.30386,0.76726,0.59195,0.67168,0.37772,1.53338,1.32784,1.42473,0.0014852,0.0014852,0.0014852
15,138.398,1.3723,1.27757,1.32768,0.75435,0.5977,0.66817,0.39919,1.43238,1.34706,1.36434,0.0014456,0.0014456,0.0014456
16,146.576,1.31473,1.17827,1.28981,0.74774,0.62179,0.69651,0.39889,1.40346,1.28146,1.34231,0.001406,0.001406,0.001406
17,154.546,1.3158,1.18412,1.29021,0.76322,0.63506,0.73444,0.43657,1.37397,1.17039,1.33005,0.0013664,0.0013664,0.0013664
18,162.717,1.29005,1.15592,1.29241,0.80703,0.66097,0.7262,0.44394,1.39224,1.2533,1.32263,0.0013268,0.0013268,0.0013268
19,170.922,1.3385,1.16897,1.29949,0.75575,0.65795,0.72451,0.44438,1.34895,1.14799,1.31655,0.0012872,0.0012872,0.0012872
20,178.959,1.33243,1.17037,1.30324,0.70712,0.60632,0.70704,0.41402,1.38249,1.21546,1.34319,0.0012476,0.0012476,0.0012476
21,186.83,1.26334,1.09725,1.24881,0.67945,0.68829,0.70514,0.4413,1.31513,1.22385,1.2911,0.001208,0.001208,0.001208
22,194.751,1.25616,1.10845,1.26647,0.70191,0.68391,0.74116,0.4633,1.30465,1.16078,1.28041,0.0011684,0.0011684,0.0011684
23,202.801,1.22516,1.04182,1.22566,0.7613,0.68391,0.76106,0.49393,1.28892,1.11307,1.26075,0.0011288,0.0011288,0.0011288
24,210.899,1.22838,1.0255,1.22102,0.78004,0.65218,0.73695,0.44272,1.39987,1.15083,1.35781,0.0010892,0.0010892,0.0010892
25,218.985,1.24145,1.03029,1.22624,0.68356,0.70144,0.72711,0.44001,1.38717,1.21425,1.3666,0.0010496,0.0010496,0.0010496
26,226.895,1.22259,1.03646,1.23716,0.7661,0.69253,0.78168,0.47239,1.35796,1.07258,1.31601,0.00101,0.00101,0.00101
27,234.785,1.18803,0.96934,1.20333,0.73545,0.69253,0.74337,0.4655,1.29875,1.07811,1.29617,0.0009704,0.0009704,0.0009704
28,242.706,1.19714,0.97482,1.21393,0.75231,0.66379,0.72531,0.44855,1.29604,1.16205,1.27755,0.0009308,0.0009308,0.0009308
